query	qlen	hits	sgenome	sseqid	qcovGnm	cls	hsp	qcovHSP	alenHSP	pident	gaps	qstart	qend	sstart	send	sstr	slen	evalue	bitscore
ENA|CP153139|CP153139.1	33783	100	SAMN05982250	SAMN05982250.contig00025	99.378	4	4	6.403	2163	96.810	0	17594	19756	4877	7039	+	33515	0.00e+00	3589
ENA|CP153139|CP153139.1	33783	100	SAMN05982250	SAMN05982250.contig00025	99.378	5	5	5.970	2017	96.877	0	9311	11327	30376	32392	+	33515	0.00e+00	3353
ENA|CP153139|CP153139.1	33783	100	SAMN05982250	SAMN05982250.contig00025	99.378	6	6	5.873	1984	96.976	0	17692	19675	4975	6958	+	33515	0.00e+00	3308
ENA|CP153139|CP153139.1	33783	100	SAMN05982250	SAMN05982250.contig00025	99.378	7	7	5.464	1846	96.587	0	9311	11156	30376	32221	+	33515	0.00e+00	3045
ENA|CP153139|CP153139.1	33783	100	SAMN05982250	SAMN05982250.contig00025	99.378	8	8	5.819	1966	94.710	0	2663	4628	23732	25697	+	33515	0.00e+00	3077
ENA|CP153139|CP153139.1	33783	100	SAMN05982250	SAMN05982250.contig00025	99.378	9	9	5.263	1778	96.963	0	17790	19567	5073	6850	+	33515	0.00e+00	2964
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00037	99.657	1	1	45.171	15260	99.817	0	18524	33783	10288	25547	-	25547	0.00e+00	27394
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00037	99.657	2	2	19.918	6729	98.232	12	3493	10221	1	6717	-	25547	0.00e+00	11658
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00037	99.657	3	3	11.000	3716	99.677	0	1	3716	6572	10287	-	25547	0.00e+00	6648
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00037	99.657	4	4	3.437	1161	99.397	0	2556	3716	6572	7732	-	25547	0.00e+00	2062
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00037	99.657	5	5	3.321	1122	99.376	0	2595	3716	6572	7693	-	25547	0.00e+00	1992
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00037	99.657	6	6	3.271	1105	98.914	0	18524	19628	24443	25547	-	25547	0.00e+00	1939
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00037	99.657	7	7	3.218	1087	98.896	0	18524	19610	24461	25547	-	25547	0.00e+00	1907
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00037	99.657	8	8	3.073	1038	96.050	0	9184	10221	1	1038	-	25547	0.00e+00	1687
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00037	99.657	9	9	3.055	1032	96.027	0	9190	10221	1	1032	-	25547	0.00e+00	1676
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00063	99.657	10	10	11.592	3917	99.183	1	12525	16440	2066	5982	-	5982	0.00e+00	6929
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00063	99.657	11	11	3.614	1221	98.362	0	15220	16440	2066	3286	-	5982	0.00e+00	2113
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00063	99.657	11	12	6.116	2066	99.710	0	16557	18622	1	2066	-	5982	0.00e+00	3699
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00063	99.657	12	13	3.377	1141	98.247	0	15300	16440	2066	3206	-	5982	0.00e+00	1968
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00063	99.657	13	14	3.158	1068	99.157	1	12525	13591	4915	5982	-	5982	0.00e+00	1894
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00063	99.657	14	15	3.141	1061	98.209	0	15380	16440	2066	3126	-	5982	0.00e+00	1828
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00075	99.657	15	16	7.637	2580	99.341	0	10062	12641	1	2580	-	2580	0.00e+00	4576
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00075	99.657	16	17	3.457	1168	99.829	0	11474	12641	1	1168	-	2580	0.00e+00	2098
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00075	99.657	17	18	3.508	1185	98.819	0	10062	11246	1396	2580	-	2580	0.00e+00	2075
ENA|CP153139|CP153139.1	33783	100	SAMN20670150	SAMN20670150.contig00075	99.657	18	19	3.076	1039	98.653	0	10062	11100	1542	2580	-	2580	0.00e+00	1811
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	1	1	3.395	1147	99.826	0	17527	18673	4869	6015	+	31162	0.00e+00	2060
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	1	2	44.963	15190	99.829	0	18594	33783	5838	21027	+	31162	0.00e+00	27277
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	2	3	30.036	10147	98.817	12	1	10147	21028	31162	+	31162	0.00e+00	17816
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	3	4	11.183	3788	99.102	10	12590	16367	2	3789	+	31162	0.00e+00	6733
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	4	5	3.327	1124	98.754	0	15195	16318	2617	3740	+	31162	0.00e+00	1965
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	4	6	7.504	2535	99.250	0	16248	18782	3590	6124	+	31162	0.00e+00	4486
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	4	7	3.318	1121	99.286	0	18719	19839	5963	7083	+	31162	0.00e+00	1986
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	5	8	5.902	1994	99.498	0	2654	4647	23681	25674	+	31162	0.00e+00	3552
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	6	9	3.283	1119	98.570	10	12590	13698	2	1120	+	31162	0.00e+00	2001
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00028	99.962	7	10	3.120	1054	99.526	0	17729	18782	5071	6124	+	31162	0.00e+00	1878
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00048	99.962	8	11	7.495	2532	99.329	3	10045	12576	1	2529	+	2529	0.00e+00	4507
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00048	99.962	9	12	3.472	1173	98.721	3	10045	11217	1	1170	+	2529	0.00e+00	2066
ENA|CP153139|CP153139.1	33783	100	SAMN32378319	SAMN32378319.contig00048	99.962	10	13	3.472	1173	98.721	3	10045	11217	1	1170	+	2529	0.00e+00	2066
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	1	1	44.768	15124	99.828	0	18660	33783	1	15124	+	33612	0.00e+00	27158
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	2	2	10.630	3591	99.749	0	1	3591	15125	18715	+	33612	0.00e+00	6435
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	2	3	20.126	6799	98.441	0	3532	10330	18617	25415	+	33612	0.00e+00	11784
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	3	4	18.503	6252	99.264	2	12438	18688	27362	33612	+	33612	0.00e+00	11086
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	4	5	7.690	2598	99.269	0	10111	12708	25139	27736	+	33612	0.00e+00	4599
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	5	6	6.249	2111	98.721	0	15300	17410	30224	32334	+	33612	0.00e+00	3685
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	6	7	5.775	1951	98.667	0	15380	17330	30304	32254	+	33612	0.00e+00	3402
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	7	8	3.605	1218	98.851	0	10111	11328	25139	26356	+	33612	0.00e+00	2134
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	8	9	3.440	1162	99.914	0	17527	18688	32451	33612	+	33612	0.00e+00	2091
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	9	10	3.440	1162	99.570	0	11547	12708	26575	27736	+	33612	0.00e+00	2073
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	10	11	3.446	1164	99.485	0	18660	19823	1	1164	+	33612	0.00e+00	2073
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	11	12	3.401	1149	98.869	0	10111	11259	25139	26287	+	33612	0.00e+00	2013
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	12	13	3.336	1127	98.846	0	10111	11237	25139	26265	+	33612	0.00e+00	1974
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	13	14	3.150	1064	99.906	0	17625	18688	32549	33612	+	33612	0.00e+00	1914
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	14	15	3.155	1066	99.531	0	18660	19725	1	1066	+	33612	0.00e+00	1900
ENA|CP153139|CP153139.1	33783	100	SAMN38844885	SAMN38844885.contig00047	100.000	15	16	3.081	1041	99.712	0	2637	3677	17761	18801	+	33612	0.00e+00	1864
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	1	1	52.145	17633	95.474	18	16168	33783	3591	21222	+	33587	0.00e+00	28310
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	2	2	10.707	3617	93.586	0	1	3617	21223	24839	+	33587	0.00e+00	5478
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	2	3	20.137	6806	95.959	18	3528	10330	24713	31503	+	33587	0.00e+00	11133
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	3	4	11.210	3789	96.622	2	12661	16447	2	3790	+	33587	0.00e+00	6275
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	4	5	6.989	2361	97.798	0	10111	12471	31227	33587	+	33587	0.00e+00	4024
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	5	6	6.240	2108	96.917	0	17608	19715	5042	7149	+	33587	0.00e+00	3508
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	6	7	6.234	2106	96.819	0	17626	19731	5060	7165	+	33587	0.00e+00	3496
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	7	8	5.805	1961	96.889	0	17708	19668	5142	7102	+	33587	0.00e+00	3261
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	8	9	3.265	1103	95.467	0	9093	10195	30266	31368	+	33587	0.00e+00	1764
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	8	10	3.434	1160	98.017	0	10111	11270	31227	32386	+	33587	0.00e+00	1988
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	9	11	3.333	1126	97.957	0	10111	11236	31227	32352	+	33587	0.00e+00	1927
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	10	12	3.327	1124	96.085	2	3528	4651	24713	25834	+	33587	0.00e+00	1842
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	11	13	2.999	1013	98.124	0	15435	16447	2778	3790	+	33587	0.00e+00	1741
ENA|CP153139|CP153139.1	33783	100	SAMN07662579	SAMN07662579.contig00049	99.441	12	14	3.206	1085	95.115	2	12661	13743	2	1086	+	33587	0.00e+00	1736
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	1	1	3.244	1096	98.814	0	15232	16327	27763	28858	-	33887	0.00e+00	1918
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	1	2	51.908	17553	95.551	17	16248	33783	10370	27922	-	33887	0.00e+00	28233
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	2	3	10.609	3584	93.666	0	1	3584	6786	10369	-	33887	0.00e+00	5440
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	2	4	20.241	6851	95.563	27	3493	10330	2	6838	-	33887	0.00e+00	11142
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	3	5	18.240	6164	97.323	2	10205	16366	27724	33887	-	33887	0.00e+00	10390
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	4	6	6.246	2112	96.591	2	11481	13590	30500	32611	-	33887	0.00e+00	3503
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	5	7	6.047	2043	96.818	0	17689	19731	24428	26470	-	33887	0.00e+00	3391
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	6	8	6.130	2071	96.427	0	17711	19781	24378	26448	-	33887	0.00e+00	3402
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	7	9	5.935	2005	96.908	0	17711	19715	24444	26448	-	33887	0.00e+00	3337
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	8	10	5.796	1960	96.480	2	11633	13590	30500	32459	-	33887	0.00e+00	3241
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	9	11	3.419	1155	98.874	0	10205	11359	32733	33887	-	33887	0.00e+00	2024
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	10	12	3.318	1121	98.840	0	10205	11325	32767	33887	-	33887	0.00e+00	1963
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	11	13	3.463	1170	97.436	0	9161	10330	2	1171	-	33887	0.00e+00	1975
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	12	14	3.457	1168	97.432	0	9163	10330	2	1169	-	33887	0.00e+00	1972
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	13	15	3.366	1137	97.361	0	9194	10330	2	1138	-	33887	0.00e+00	1916
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	14	16	3.158	1067	98.500	0	15300	16366	27724	28790	-	33887	0.00e+00	1853
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	15	17	3.312	1119	96.247	0	3493	4611	5720	6838	-	33887	0.00e+00	1829
ENA|CP153139|CP153139.1	33783	100	SAMN39676514	SAMN39676514.contig00018	100.000	16	18	3.268	1104	96.286	0	3493	4596	5735	6838	-	33887	0.00e+00	1806
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	1	1	3.280	1108	98.827	0	15220	16327	5019	6126	+	33829	0.00e+00	1939
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	1	2	51.908	17553	95.539	17	16248	33783	5967	23519	+	33829	0.00e+00	28224
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	2	3	10.609	3584	93.666	0	1	3584	23520	27103	+	33829	0.00e+00	5440
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	2	4	20.072	6792	95.539	24	3493	10273	27051	33829	+	33829	0.00e+00	11018
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	3	5	18.243	6165	97.340	2	10204	16366	1	6165	+	33829	0.00e+00	10397
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	3	6	3.259	1112	96.493	11	16298	17398	6017	7128	+	33829	0.00e+00	1889
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	4	7	6.240	2108	96.869	0	17608	19715	7338	9445	+	33829	0.00e+00	3505
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	5	8	6.234	2106	96.771	0	17626	19731	7356	9461	+	33829	0.00e+00	3492
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	6	9	5.911	1997	97.046	0	11412	13408	1209	3205	+	33829	0.00e+00	3335
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	7	10	5.574	1883	96.867	0	11526	13408	1323	3205	+	33829	0.00e+00	3130
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	8	11	5.577	1884	96.762	0	17708	19591	7438	9321	+	33829	0.00e+00	3122
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	9	12	5.257	1776	96.847	0	11633	13408	1430	3205	+	33829	0.00e+00	2951
ENA|CP153139|CP153139.1	33783	100	SAMN40375176	SAMN40375176.contig00015	100.000	10	13	3.327	1124	98.932	0	10204	11327	1	1124	+	33829	0.00e+00	1974
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00014	99.748	1	1	52.145	17622	95.472	9	16168	33783	11191	28809	-	28927	0.00e+00	28240
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00014	99.748	2	2	9.594	3244	96.023	29	3645	6885	4483	7700	-	28927	0.00e+00	5413
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00014	99.748	3	3	9.919	3351	95.166	2	6859	10209	1	3349	-	28927	0.00e+00	5332
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00014	99.748	4	4	10.535	3559	93.594	0	1	3559	7632	11190	-	28927	0.00e+00	5391
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00014	99.748	5	5	6.272	2119	96.461	0	17687	19805	25175	27293	-	28927	0.00e+00	3483
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00014	99.748	6	6	5.716	1931	96.945	0	17785	19715	25265	27195	-	28927	0.00e+00	3216
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00014	99.748	7	7	4.517	1529	95.618	27	5360	6885	4483	5987	-	28927	0.00e+00	2587
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00014	99.748	8	8	3.218	1087	96.412	3	16168	17254	27726	28809	-	28927	0.00e+00	1802
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00017	99.748	9	9	18.130	6127	96.948	2	10204	16328	1	6127	-	6127	0.00e+00	10224
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00017	99.748	10	10	6.710	2269	96.166	2	11477	13743	2586	4854	-	6127	0.00e+00	3718
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00017	99.748	11	11	6.343	2145	96.410	2	11428	13570	2759	4903	-	6127	0.00e+00	3539
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00017	99.748	12	12	5.828	1971	96.347	2	11553	13521	2808	4778	-	6127	0.00e+00	3249
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00017	99.748	13	13	5.580	1887	96.237	2	11772	13656	2673	4559	-	6127	0.00e+00	3101
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00017	99.748	14	14	3.496	1181	99.153	0	10204	11384	4947	6127	-	6127	0.00e+00	2085
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00017	99.748	15	15	3.336	1127	99.113	0	10204	11330	5001	6127	-	6127	0.00e+00	1988
ENA|CP153139|CP153139.1	33783	100	SAMN25941599	SAMN25941599.contig00017	99.748	16	16	3.126	1056	99.053	0	10204	11259	5072	6127	-	6127	0.00e+00	1860
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	1	1	45.254	15290	99.281	2	18496	33783	5951	21240	+	33598	0.00e+00	27091
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	2	2	3.247	1097	99.727	0	2542	3638	23782	24878	+	33598	0.00e+00	1965
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	2	3	20.022	6776	98.244	14	3567	10330	24731	31504	+	33598	0.00e+00	11755
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	3	4	11.056	3736	98.260	39	12687	16421	1	3698	+	33598	0.00e+00	6630
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	3	5	7.086	2394	99.373	0	16390	18783	3747	6140	+	33598	0.00e+00	4250
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	4	6	10.769	3638	99.780	0	1	3638	21241	24878	+	33598	0.00e+00	6525
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	5	7	3.200	1081	96.485	0	9101	10181	30275	31355	+	33598	0.00e+00	1779
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	5	8	7.018	2371	99.367	0	10111	12481	31228	33598	+	33598	0.00e+00	4208
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	6	9	3.762	1271	99.685	0	17513	18783	4870	6140	+	33598	0.00e+00	2275
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	7	10	3.561	1203	98.670	0	16168	17370	3525	4727	+	33598	0.00e+00	2098
ENA|CP153139|CP153139.1	33783	100	SAMN07445503	SAMN07445503.contig00014	99.393	8	11	3.437	1161	98.880	0	10111	11271	31228	32388	+	33598	0.00e+00	2035
